,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
318,Scholven/Buer,Hard Coal,Steam Turbine,PP,DE,816,,,0.0,0.0,0.0,1968.0,1968.0,,2030.0,51.6024,7.0099,,
319,Neurath,Lignite,Steam Turbine,PP,DE,3800,,,0.0,0.0,0.0,1972.0,1972.0,,2033.0,51.0372,6.5992,,
320,Staudinger,Hard Coal,Steam Turbine,PP,DE,553,,,0.0,0.0,0.0,1965.0,1965.0,,2024.0,50.0877,8.9535,,
321,Hamburg-Tiefstack,Hard Coal,Steam Turbine,PP,DE,205,,,0.0,0.0,0.0,1993.0,1993.0,,2030.0,53.5261,10.0655,,
322,Hannover,Hard Coal,Steam Turbine,PP,DE,300,,,0.0,0.0,0.0,1989.0,1989.0,,2026.0,52.4203,9.6476,,
323,Heilbronn,Hard Coal,Steam Turbine,PP,DE,1066,,,0.0,0.0,0.0,1965.0,1965.0,,2030.0,49.1756,9.2076,,
324,Herne,Hard Coal,Steam Turbine,PP,DE,500,,,0.0,0.0,0.0,1963.0,1963.0,,2026.0,51.5507,7.1875,,
325,Mehrum,Hard Coal,Steam Turbine,PP,DE,750,,,0.0,0.0,0.0,1979.0,1979.0,,2024.0,52.315,10.0914,,
326,Waehlitz,Lignite,Steam Turbine,PP,DE,37,,,0.0,0.0,0.0,1994.0,1994.0,,2030.0,51.1663,12.0764,,
327,Goldenberg,Lignite,Steam Turbine,PP,DE,76,,,0.0,0.0,0.0,1992.0,1992.0,,2030.0,50.861,6.8434,,
328,HKW Karcherstr.,Hard Coal,Steam Turbine,PP,DE,15,,,0.0,0.0,0.0,1996.0,1996.0,,2030.0,49.435,7.7609,,
329,Karlsruhe,Hard Coal,Steam Turbine,PP,DE,1462,,,0.0,0.0,0.0,1985.0,1985.0,,2030.0,49.0143,8.3042,,
330,Kassel,Lignite,Steam Turbine,PP,DE,38,,,0.0,0.0,0.0,1988.0,1988.0,,2025.0,51.2793,9.4833,,
331,Cologne-Merkenich,Lignite,Steam Turbine,PP,DE,85,,,0.0,0.0,0.0,2010.0,2010.0,,2026.0,51.0168,6.9634,,
332,Leverkusen,Hard Coal,Steam Turbine,PP,DE,112,,,0.0,0.0,0.0,1962.0,1962.0,,2030.0,51.0222,6.9859,,
333,Luenen-Stummhafen,Hard Coal,Steam Turbine,PP,DE,820,,,0.0,0.0,0.0,2013.0,2013.0,,2030.0,51.6141,7.4652,,
