Country_code,electricity,residential non-elec,services non-elec,rail non-elec,road non-elec,domestic navigation,international navigation,domestic aviation,international aviation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
AL,0.53774927745,0.33433220384999995,0.0,0.0,0.7733640642,0.0,0.0,0.0,0.0,,0.0,,,,,2.0406837686
AT,11.07937937,9.96308196,2.30045163,0.17797633999999998,13.328049429999998,0.0147922,0.04948028,0.03200273,0.88597299,10.87118623,1.30212302,-12.15659679,0.02791954,0.0,0.0,12.092284989999992
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
BE,23.53655477,20.4955586,4.2922321199999995,0.22244965,19.6796592,0.36187378000000003,13.312504520000001,0.014688660000000001,3.12522111,18.2036862,3.21484243,-3.2490549900000003,0.29949882,0.0,0.0,13.550572990000001
BG,35.178685120000004,2.88725718,3.11695761,0.32284629000000004,5.78044233,0.056419739999999996,0.182664,0.1351009,0.713284,8.360438700000001,1.69477212,-19.56305755,0.01983452,0.0,0.0,18.25027258000001
CH,2.10376524,11.60844109,4.83846653,0.02868849,13.967082809999999,0.11427297,0.05980762,0.25255489,3.0659231100000004,3.1546271200000002,0.8612695499999999,-2.01860274,0.04023302,0.010960000000000001,0.38002006,4.048328509999999
CZ,54.58489821,18.374860530000003,9.907145270000001,0.76814579,10.2525584,0.05351835,0.0,0.13943891,0.5237209,15.646574399999999,4.96781646,-5.77081298,0.02083381,0.0,1.8646168500000002,48.96469468000003
DE,338.45115956,128.63575218,64.1058947,2.90052204,151.89837502999998,3.6445326700000003,6.4053476,2.28049232,12.0526769,59.694713889999996,13.45370375,-30.464211749999997,0.0,0.0,0.0,268.8253738000002
DK,24.697304,4.988080490000001,1.45970698,0.29674549,9.35659721,0.71444274,3.01229527,0.20479408000000002,1.77400144,1.27842181,3.2130958699999996,6.17279161,0.020309149999999998,0.0,1.13322597,2.5369653199999957
EE,29.02660444,1.3378301799999999,0.0475399,0.15392831,2.22607147,0.02178658,0.55240204,0.005519110000000001,0.10675165,0.95783731,0.50838335,-1.94512291,0.00225179,0.0,0.0,1.9603314099999916
ES,65.57540975,12.802207630000002,3.8115577,0.42172116,50.43293134,5.21410345,11.65859658,1.66440843,4.7314893499999995,21.99693806,9.17763057,-36.63285788,0.11325905,0.0,0.0,43.61330305999998
FI,16.453366539999998,3.1477140599999998,2.47618078,0.1911011,10.80393276,0.44128593,1.83199523,0.38513885,1.0077297600000001,3.6822125,2.51044432,-18.43056332,0.0,0.0,0.16580883,14.040772430000004
FR,49.16106402,55.01185409,29.934178029999998,1.07843066,114.06254282,1.02293619,7.96781239,4.383831519999999,8.53709252,31.50156168,13.083037639999999,-26.204779180000003,2.20857629,0.0,0.0,82.8241239
GB,203.11585003,78.22833139000001,25.40019753,1.47182283,107.89076986,7.53575225,8.91475024,1.5398143,15.3366505,24.71274051,7.31782843,-2.40157228,1.31175419,0.0,0.0,115.60497868999984
GR,40.616710160000004,4.65384672,0.51886311,0.19894266,11.79305967,1.8087091,8.10571635,0.32341932,2.47479,8.70038321,2.9532169400000003,-2.17704304,0.00022015,0.0,0.0,1.2776707599999937
HR,3.72889153,2.02884306,0.85465183,0.14007851999999998,3.50587486,0.13438337,0.14723118,0.006601009999999999,0.49661612000000005,2.62201933,0.88543592,-6.47076781,0.0005357,0.0,0.0,8.778087000000001
HU,17.8918835,15.79803896,2.7570882,0.5329836699999999,7.8263320400000005,0.20912883,0.0,0.0036998,0.50500305,8.172958249999999,3.04018225,-2.6794870299999998,0.09687855000000001,0.0,0.0,16.630676729999998
IE,10.87649,7.0518632,2.2318502400000004,0.13319132,4.69042381,0.08489987,0.05677574,0.04797992,1.07269182,2.24790834,1.1989399900000002,4.32685275,0.09558639,0.0,0.0,3.155727129999996
IT,108.52720957000001,55.55435172,11.81535102,0.61332569,92.31580551,5.4701112599999995,4.45375105,1.49311851,4.2847785400000005,29.39683942,8.81783454,-5.66199193,0.51200858,0.0,0.0,114.75431678999989
LT,12.00294991,2.3614626199999997,3.05875397,0.34997185999999997,5.247150410000001,0.015485480000000001,0.3021744,0.00815692,0.39890928000000003,3.47002058,1.5394092000000001,-5.70982239,0.00265932,0.0,0.0,7.014711759999995
LU,0.03328747,0.66981598,0.63887744,0.02482326,2.56264023,0.00130465,7.818e-05,0.00021483,0.38601731,1.62890571,0.03431944,0.07992429,0.0,0.0,0.0,5.86735094
